covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
data.sample.random_state,-0.058142731521026086,0.9435152684561812,0.05209880959424462,-0.16025452196315537,0.0439690589211032,0.8519269272553579,1.0449500225071573,0.0,-1.1160088296422255,0.2644183551119512,1.9191057670967626
accuracy,0.3041774577113667,1.3555095803754649,0.1311939805120113,0.04704198091937484,0.5613129345033586,1.0481660111288305,1.7529725281884116,0.0,2.3185321195702127,0.020420419423596986,5.613843691133488
train_time,-0.0029908349713892173,0.9970136331199725,0.00018386961485111742,-0.0033512127943486586,-0.002630457148429776,0.996654396251796,0.9973729994724796,0.0,-16.266064264130595,1.7185490827472548e-59,195.2125665418581
attack.init.eps,-1.6065568558244505,0.20057704216836236,0.10044569459343936,-1.8034267996297013,-1.4096869120191997,0.1647334114937235,0.24421973344819523,0.0,-15.994282904081619,1.4006175435675143e-57,188.86383834526293
model.trainer.nb_epoch,-0.0003395111481656593,0.9996605464792223,0.0016234221613069136,-0.003521360116031384,0.0028423378197000655,0.99648483260144,1.0028463810917148,0.0,-0.20913300080389474,0.8343444133437435,0.26128505072176167
predict_proba_time,-0.8840356465692369,0.41311236757713526,0.03755824285377982,-0.9576484498852542,-0.8104228432532197,0.3837943372736115,0.44467000075490776,0.0,-23.537726458900845,1.6768300727455488e-122,404.52949108033664
model.trainer.batch_size,2.7572667865538965e-05,1.000027573047995,9.00801327672613e-06,9.91728627089711e-06,4.522804946018082e-05,1.0000099173354473,1.000045229072264,0.0,3.0609044434668027,0.002206695077498265,8.823896993772806
device_id_nvidia-l4,-0.5073730237544584,0.6020751402601796,0.11196577493100937,-0.7268219101203544,-0.2879241373885624,0.483442976456654,0.7498184732689286,0.0,-4.53150102401461,5.856605323829304e-06,17.38150389470594
device_id_nvidia-tesla-p100,0.9147604671516727,2.4961772638389177,0.11342604181467157,0.6924495102859822,1.1370714240173632,1.9986051460827092,3.117624781822957,0.0,8.064818735774214,7.334460846529509e-16,50.27615860037365
device_id_nvidia-tesla-v100,-0.22338061819668759,0.7998103689725241,0.11349009383220325,-0.4458171147098773,-0.0009441216834978894,0.6403008629633079,0.9990563238591523,0.0,-1.968282963330342,0.04903548907230743,4.350029922661679
